Entre os jogos no formato "time local, time visitante, golslocal, golsvisitante" (gols local negativo encerra a entrada de dados)
Posicao,Nome,Pontos Ganhos,Vitorias,Empates,Derrotas,Saldo de Gols,Gol Average
1,BayernMunich,71,21,8,5,54,2.421
2,BorussiaDortmund,71,22,5,7,39,1.886
3,RBLeipzig,66,20,6,8,23,1.561
4,UnionBerlin,62,18,8,8,13,1.342
5,SCFreiburg,59,17,8,9,7,1.159
6,BayerLeverkusen,50,14,8,12,8,1.163
7,EintrachtFrankfurt,50,13,11,10,6,1.115
8,VfLWolfsburg,49,13,10,11,9,1.188
9,Mainz05,46,12,10,12,-1,0.982
10,BorussiaMönchengladbach,43,11,10,13,-3,0.945
11,FCKöln,42,10,12,12,-5,0.907
12,1899Hoffenheim,36,10,6,18,-9,0.842
13,WerderBremen,36,10,6,18,-13,0.797
14,VfLBochum,35,10,5,19,-32,0.556
15,FCAugsburg,34,9,7,18,-21,0.667
16,VfBStuttgart,33,7,12,15,-12,0.789
17,Schalke04,31,7,10,17,-36,0.493
18,HerthaBSC,29,7,8,19,-27,0.609
