Entre os jogos no formato "time local, time visitante, golslocal, golsvisitante" (gols local negativo encerra a entrada de dados)
Posicao,Nome,Pontos Ganhos,Vitorias,Empates,Derrotas,Saldo de Gols,Gol Average
1,Botafogo,15,5,0,0,8,3.000
2,Palmeiras,13,4,1,0,10,3.000
3,Fluminense,10,3,1,1,5,2.000
4,Fortaleza,9,2,3,0,5,2.250
5,Athletico Paranaense,9,3,0,2,2,1.400
6,Cruzeiro,9,3,0,2,2,1.400
7,São Paulo,8,2,2,1,4,2.333
8,Atlético Mineiro,7,2,1,2,2,1.400
9,Santos,7,2,1,2,2,1.400
10,Internacional,7,2,1,2,-2,0.667
11,Grêmio,7,2,1,2,-2,0.778
12,Flamengo,6,2,0,3,2,1.286
13,Vasco,6,1,3,1,0,1.000
14,Red Bull Bragantino,6,1,3,1,-2,0.800
15,Bahia,6,2,0,3,-2,0.750
16,Cuiabá,4,1,1,3,-5,0.500
17,Corinthians,4,1,1,3,-5,0.500
18,Goiás,3,1,0,4,-8,0.273
19,Coritiba,2,0,2,3,-8,0.273
20,América Mineiro,1,0,1,4,-8,0.385
