Entre os jogos no formato "time local, time visitante, golslocal, golsvisitante" (gols local negativo encerra a entrada de dados)
Posicao,Nome,Pontos Ganhos,Vitorias,Empates,Derrotas,Saldo de Gols,Gol Average
1,Barcelona,88,28,4,6,50,3.500
2,RealMadrid,78,24,6,8,39,2.083
3,Atlético,77,23,8,7,37,2.156
4,RealSociedad,71,21,8,9,16,1.457
5,Villarreal,64,19,7,12,19,1.487
6,Betis,60,17,9,12,5,1.122
7,Osasuna,53,15,8,15,-5,0.881
8,Athletic,51,14,9,15,4,1.093
9,Girona,49,13,10,15,3,1.055
10,Sevilla,49,13,10,15,-7,0.870
11,Rayo,49,13,10,15,-8,0.849
12,Mallorca,48,13,9,16,-7,0.837
13,Celta,43,11,10,17,-10,0.811
14,Valencia,42,11,9,18,-3,0.933
15,Getafe,42,10,12,16,-11,0.756
16,Cádiz,42,10,12,16,-23,0.566
17,Almería,41,11,8,19,-16,0.754
18,Valladolid,41,11,8,19,-29,0.532
19,Espanyol,37,8,13,17,-17,0.754
20,Elche,25,5,10,23,-37,0.448
