Entre os jogos no formato "time local, time visitante, golslocal, golsvisitante" (gols local negativo encerra a entrada de dados)
Posicao,Nome,Pontos Ganhos,Vitorias,Empates,Derrotas,Saldo de Gols,Gol Average
1,ParisSG,85,27,4,7,49,2.225
2,Lens,84,25,9,4,39,2.345
3,Marseille,73,22,7,9,27,1.675
4,Rennes,68,21,5,12,30,1.769
5,Lille,67,19,10,9,21,1.477
6,Monaco,65,19,8,11,12,1.207
7,Lyon,62,18,8,12,18,1.383
8,Clermont,59,17,8,13,-4,0.918
9,Nice,58,15,13,10,11,1.297
10,Lorient,55,15,10,13,-1,0.981
11,Reims,51,12,15,11,0,1.000
12,Montpellier,50,15,5,18,3,1.048
13,Toulouse,48,13,9,16,-6,0.895
14,Brest,44,11,11,16,-10,0.815
15,Strasbourg,40,9,13,16,-8,0.864
16,Nantes,36,7,15,16,-18,0.673
17,Auxerre,35,8,11,19,-28,0.556
18,Ajaccio,26,7,5,26,-51,0.311
19,Troyes,24,4,12,22,-36,0.556
20,Angers,18,4,6,28,-48,0.407
