Entre os jogos no formato "time local, time visitante, golslocal, golsvisitante" (gols local negativo encerra a entrada de dados)
Posicao,Nome,Pontos Ganhos,Vitorias,Empates,Derrotas,Saldo de Gols,Gol Average
1,Napoli,90,28,6,4,49,2.750
2,Lazio,74,22,8,8,30,2.000
3,InterMilan,72,23,3,12,29,1.690
4,Juventus,72,22,6,10,23,1.697
5,ACMilan,70,20,10,8,21,1.488
6,Atalanta,64,19,7,12,18,1.375
7,Roma,63,18,9,11,12,1.316
8,Fiorentina,56,15,11,12,10,1.233
9,Bologna,54,14,12,12,4,1.082
10,Torino,53,14,11,13,1,1.024
11,Monza,52,14,10,14,-4,0.923
12,Udinese,46,11,13,14,-1,0.979
13,Sassuolo,45,12,9,17,-14,0.770
14,Empoli,43,10,13,15,-12,0.755
15,Salernitana,42,9,15,14,-14,0.774
16,Lecce,36,8,12,18,-13,0.717
17,HellasVerona,31,7,10,21,-28,0.525
18,Spezia,31,6,13,19,-31,0.500
19,Cremonese,27,5,12,21,-33,0.522
20,Sampdoria,19,3,10,25,-47,0.338
