Entre os jogos no formato "time local, time visitante, golslocal, golsvisitante" (gols local negativo encerra a entrada de dados)
Posicao,Nome,Pontos Ganhos,Vitorias,Empates,Derrotas,Saldo de Gols,Gol Average
1,ManchesterCity,89,28,5,5,61,2.848
2,Arsenal,84,26,6,6,45,2.047
3,ManchesterUnited,75,23,6,9,15,1.349
4,NewcastleUnited,71,19,14,5,35,2.061
5,Liverpool,67,19,10,9,28,1.596
6,BrightonHoveAlbion,62,18,8,12,19,1.358
7,AstonVilla,61,18,7,13,5,1.109
8,TottenhamHotspur,60,18,6,14,7,1.111
9,Brentford,59,15,14,9,12,1.261
10,Fulham,52,15,7,16,2,1.038
11,CrystalPalace,45,11,12,15,-9,0.816
12,Chelsea,44,11,11,16,-9,0.809
13,WolverhamptonWanderers,41,11,8,19,-27,0.534
14,WestHamUnited,40,11,7,20,-13,0.764
15,Bournemouth,39,11,6,21,-34,0.521
16,NottinghamForest,38,9,11,18,-30,0.559
17,Everton,36,8,12,18,-23,0.596
18,LeicesterCity,34,9,7,22,-17,0.750
19,LeedsUnited,31,7,10,21,-30,0.615
20,Southampton,25,6,7,25,-37,0.493
